id,id_equipo,tipo_equipo,marca,area_hospital,horas_uso,ultimo_mantenimiento,alerta_mantenimiento
1,EQ-1,Respirador Artificial,Dräger,Hospitalización,2350.7002113210433,2026-01-13,Requiere Mantenimiento Urgente
2,EQ-2,Monitor de Signos Vitales,Dräger,Hospitalización,2371.9136944200072,2026-05-07,Requiere Mantenimiento Urgente
3,EQ-3,Electrocardiógrafo,GE Healthcare,Hospitalización,1273.1971224830977,2025-08-30,Operativo Seguro
4,EQ-4,Respirador Artificial,GE Healthcare,Hospitalización,1921.7205187988943,2026-06-08,Requiere Mantenimiento Urgente
5,EQ-5,Electrocardiógrafo,GE Healthcare,Urgencias,1997.640767914384,2026-05-15,Requiere Mantenimiento Urgente
6,EQ-6,Monitor de Signos Vitales,Dräger,Urgencias,879.6292998368164,2025-12-02,Operativo Seguro
7,EQ-7,Respirador Artificial,Dräger,UCIs,2217.7108431866354,2025-12-22,Requiere Mantenimiento Urgente
8,EQ-8,Electrocardiógrafo,Philips,Urgencias,63.950056031555626,2025-12-25,Operativo Seguro
9,EQ-9,Monitor de Signos Vitales,Philips,Hospitalización,1704.1711166006448,2026-05-27,Requiere Mantenimiento Urgente
10,EQ-10,Electrocardiógrafo,GE Healthcare,Hospitalización,473.71553348399016,2025-12-30,Operativo Seguro
11,EQ-11,Respirador Artificial,Philips,Urgencias,385.22598950385736,2025-10-26,Operativo Seguro
12,EQ-12,Monitor de Signos Vitales,Dräger,Hospitalización,1205.153327888113,2025-10-24,Operativo Seguro
13,EQ-13,Respirador Artificial,GE Healthcare,Hospitalización,67.44349064904648,2025-12-15,Operativo Seguro
14,EQ-14,Desfibrilador,Dräger,Urgencias,403.3732287582997,2026-06-27,Operativo Seguro
15,EQ-15,Respirador Artificial,GE Healthcare,Hospitalización,2008.0242530939536,2026-06-09,Requiere Mantenimiento Urgente
16,EQ-16,Electrocardiógrafo,Philips,Urgencias,1706.0231701446346,2025-10-08,Requiere Mantenimiento Urgente
17,EQ-17,Electrocardiógrafo,Dräger,Urgencias,1596.956955215574,2026-06-19,Requiere Mantenimiento Urgente
18,EQ-18,Electrocardiógrafo,Philips,Urgencias,377.549990995143,2026-03-05,Operativo Seguro
19,EQ-19,Respirador Artificial,Philips,UCIs,1038.0902639502863,2026-05-31,Operativo Seguro
